session,trial,segment,story,segment_num,condition,with_char,sub,sub_session,res_1,res_1_simi_info,res_1_simi_info_z,res_1_simi_self,res_1_simi_self_z,res_1_simi_other,res_1_simi_other_z,res_1_MAD,res_1_MAD_z,res_1_MD,res_1_MD_z,res_1_MAD_sub,res_1_MAD_sub_z,res_1_MD_sub,res_1_MD_sub_z,res_1_MAD_oppo_sub,res_1_MAD_oppo_sub_z,res_1_MD_oppo_sub,res_1_MD_oppo_sub_z,res_1_score,res_1_conf,res_2,res_2_score,res_2_conf,res_3,res_3_score,res_3_conf,version,cond_1,cond_direction,cond_amount,base_segment,base_seg_num,segment_pair,segment_count,label,characters,hit_char,res_1_simi_otherseg_01,res_1_simi_otherseg_02,res_1_simi_otherseg_03,res_1_simi_otherseg_04,res_1_simi_otherseg_05,res_1_simi_otherseg_06,res_1_simi_otherseg_07,res_1_simi_otherseg_08,res_1_simi_otherseg_09,res_1_simi_otherseg_10,res_1_simi_otherseg_11,hit,scenes,note
3,1,1_01,1,1,p_recall,TRUE,0116-1,0116-1,Beth and Rob move into a new house. Beth meets Sheila and Leo as she arrives to see the house for the first time. She promises to invite them over after they finish moving in. ,,,,,,,,,,,,,,,,,,,,5,,,,,,,exp,recall_p,f,p_recall/r_recall,1_01,1,,0,1_01 : p_recall,"Beth, Sheila, Rob, Leo",TRUE,,,,,,,,,,,,0,101 102 152 153,
3,2,1_02,1,2,p0,FALSE,0116-1,0116-1,Beth and Rob will move into the house. Sheila and Leo will come over to Beth and Rob's for dinner. ,,,,,,,,,,,,,,,,,,,,4,,,,,,,exp,p0,f,p0/r0,1_01,1,1_01-02,1,1_02 : p0,"Beth, Sheila, Rob, Leo",TRUE,,,,,,,,,,,,1,156 153 154 207,
3,3,1_02,1,2,p,TRUE,0116-1,0116-1,Beth and Rob move into the house. Sheila and Leo come over to Beth and Rob's for dinner. ,,,,,,,,,,,,,,,,,,,,4,,,,,,,exp,p,f,p/r,1_01,1,1_01-02,1,1_02 : p,"Beth, Sheila, Rob, Leo",TRUE,,,,,,,,,,,,1,156 154 207,
3,4,1_03,1,3,p_r_recall,TRUE,0116-1,0116-1,Beth is shopping at the grocery store. She overhears Sheila and another neighbor talking about her husband's affair with another woman. She runs away. ,,,,,,,,,,,,,,,,,,,,5,,,,,,,exp,recall_p,f,p_r_recall/r_p_recall,1_03,3,,2,1_03 : p_r_recall,"Beth, Sheila, One neighbor",TRUE,,,,,,,,,,,,0,301 303 304 306,
3,5,1_02,1,2,p_r,TRUE,0116-1,0116-1,Beth and Rob invited Sheila and Leo over for dinner after moving in their things. ,,,,,,,,,,,,,,,,,,,,4,,,,,,,exp,p_r,f,p_r/r_p,1_01,1,,1,1_02 : p_r,"Beth, Sheila, Rob, Leo",TRUE,,,,,,,,,,,,1,153 154 207 152,
3,6,1_02,1,2,recall_f,TRUE,0116-1,0116-1,Sheila and Leo had tea at Beth and Rob's home. There was conflict between Sheila and Leo when Rob asked Beth for tea by only tapping on his cup. They left soon after. ,,,,,,,,,,,,,,,,,,,,5,,,,,,,exp,recall_p,f,recall_f/recall_b,1_02,2,,1,1_02 : recall_f,"Beth, Sheila, Rob, Leo",TRUE,,,,,,,,,,,,0,207 204 206,
3,7,1_03,1,3,p_recall,TRUE,0116-1,0116-1,Beth is shopping at the grocery store when she overhears Sheila and another neighbor talking about her husband's affair that she does not know about. This causes her to knock over a stack of cans and run away.,,,,,,,,,,,,,,,,,,,,5,,,,,,,exp,recall_p,f,p_recall/r_recall,1_03,3,,2,1_03 : p_recall,"Beth, Sheila, One neighbor",TRUE,,,,,,,,,,,,0,301 303 304 306,
3,8,1_04,1,4,p0,FALSE,0116-1,0116-1,Beth confronts Rob by asking him if he's having an affair. ,,,,,,,,,,,,,,,,,,,,3,,,,,,,exp,p0,f,p0/r0,1_03,3,1_03-04,3,1_04 : p0,"Beth, Sheila",FALSE,,,,,,,,,,,,0,1,
3,9,1_04,1,4,p,TRUE,0116-1,0116-1,Sheila finds Beth and they talk about what Beth should do about her husband's affair.,,,,,,,,,,,,,,,,,,,,4,,,,,,,exp,p,f,p/r,1_03,3,1_03-04,3,1_04 : p,"Beth, Sheila",TRUE,,,,,,,,,,,,1,431 0,
3,10,1_05,1,5,p_r_recall,TRUE,0116-1,0116-1,Beth follows Rob to a diner where she sees him kiss April. ,,,,,,,,,,,,,,,,,,,,5,,,,,,,exp,recall_p,f,p_r_recall/r_p_recall,1_05,5,,4,1_05 : p_r_recall,"Beth, Rob, April",TRUE,,,,,,,,,,,,0,504 505 506,
